Label,F0,Harmonic_1,Harmonic_2,Harmonic_3,Harmonic_4,Harmonic_5,Harmonic_6,Harmonic_7,Harmonic_8,Harmonic_9,Spectral_Centroid,Spectral_Contrast,Spectral_Rolloff
Major,65.59540522187244,130.66666666666666,130.66666666666666,196.0,262.22222222222223,329.3333333333333,392.88888888888886,495.55555555555554,524.8888888888889,589.3333333333333,365.8223764869191,23.48063707048645,578.954574742268
Major,65.59540522187244,165.33333333333331,165.33333333333331,196.44444444444443,261.77777777777777,329.77777777777777,392.4444444444444,496.0,524.0,589.7777777777777,248.54599015023777,19.7719313081317,375.49910397873714
Major,120.30250360821168,130.9090909090909,234.0909090909091,370.45454545454544,468.1818181818182,555.4545454545454,702.7272727272727,927.2727272727273,937.7272727272727,1113.1818181818182,304.34322192233014,23.456695399189208,484.8937345805921
Major,284.4812036394563,278.1818181818182,556.3636363636364,835.0,1091.3636363636365,1391.8181818181818,1670.4545454545455,1949.090909090909,1949.090909090909,1949.090909090909,367.866268338186,23.71224716505856,564.8499177631579
Major,50.28964705339267,155.9090909090909,155.9090909090909,155.9090909090909,197.72727272727272,278.1818181818182,311.3636363636364,350.45454545454544,392.7272727272727,466.8181818181818,309.97500888800715,18.753908650102538,501.15696957236844
Major,281.2136583244699,278.22222222222223,556.4444444444445,834.6666666666666,1112.888888888889,1391.5555555555554,1670.2222222222222,1949.3333333333333,1949.3333333333333,1949.3333333333333,407.3431906820888,22.906613368325985,644.9971307184278
Major,50.0,156.0,156.0,156.0,196.44444444444443,272.44444444444446,311.1111111111111,350.22222222222223,392.4444444444444,466.6666666666666,320.8091258427778,18.905591183222796,490.8238361791237
Major,98.2820598545251,155.45454545454544,195.9090909090909,294.54545454545456,392.27272727272725,466.8181818181818,589.0909090909091,699.0909090909091,784.5454545454545,884.5454545454545,372.50066044869936,23.15734011162472,582.47314453125
Major,50.28964705339267,155.9090909090909,155.9090909090909,155.9090909090909,197.72727272727272,294.09090909090907,294.09090909090907,350.45454545454544,392.7272727272727,466.8181818181818,287.9886734184294,19.722337928563437,421.9374486019737
Major,276.38257599355524,278.1818181818182,556.3636363636364,835.0,1112.7272727272727,1391.8181818181818,1670.4545454545455,1949.090909090909,1949.090909090909,1949.090909090909,405.195949952575,24.989940289448587,636.1928196957236
Major,78.45840978967507,155.9090909090909,155.9090909090909,273.6363636363636,311.3636363636364,392.7272727272727,468.1818181818182,556.3636363636364,624.0909090909091,780.9090909090909,328.83043408552174,20.14904208607814,499.79697779605266
Major,65.59540522187244,155.21892161019036,155.21892161019036,196.0888897652545,262.17649784578373,311.307417010914,392.177779530509,466.52633862110434,524.787782586834,589.1362430862968,448.5656214754981,22.016232649338072,695.2844054255653
Major,51.76324619206888,155.653708505457,155.653708505457,155.653708505457,198.26282424158768,262.17649784578373,311.307417010914,350.4382375849116,392.6125664257757,465.6567648305711,301.04861560944,19.641210166901796,454.30730311714825
Major,233.75544971224912,233.1818181818182,467.27272727272725,661.3636363636364,929.090909090909,993.6363636363636,993.6363636363636,993.6363636363636,993.6363636363636,993.6363636363636,275.87769264177723,19.176342368255213,427.09408408717104
Major,61.91381801887202,155.45454545454544,155.45454545454544,195.9090909090909,247.27272727272725,311.3636363636364,391.8181818181818,466.8181818181818,494.5454545454545,588.1818181818181,372.79264147006387,23.69549407574945,578.16650390625
Major,98.8514020352896,155.9090909090909,197.72727272727272,311.3636363636364,392.7272727272727,494.5454545454545,590.0,743.1818181818181,787.2727272727273,787.2727272727273,290.1235144953488,20.303495191436387,413.6074989720395
Major,82.64503181542116,82.60951010066154,165.6538070965897,247.8285303019846,330.4380404026461,413.04755050330766,495.2222737087026,580.0057182856973,659.1369332242257,741.7464433248873,361.3198232007753,23.200820841840784,578.4207904758166
Major,82.64503181542116,83.04429699592818,165.21902020132308,246.95895651145133,331.3076141931794,412.61276360804106,496.0918474992358,579.136144495164,661.3108677005589,743.0508040106872,259.03900408678413,18.814149884290657,388.4633126570352
Major,81.695772662055,82.60951010066154,164.3494464107898,247.8285303019846,329.56846661211284,413.04755050330766,495.2222737087026,580.0057182856973,659.1369332242257,745.2247384870204,356.8697056647734,23.01934136770815,587.1855615970477
Major,82.64503181542116,83.04429699592818,165.21902020132308,246.95895651145133,331.3076141931794,412.61276360804106,496.0918474992358,579.136144495164,661.3108677005589,662.6152283863588,251.65521342462847,18.539101717438953,373.4766361102387
Major,92.23161935859392,82.22222222222221,165.77777777777777,278.22222222222223,370.6666666666666,496.4444444444444,556.4444444444445,625.3333333333333,740.4444444444445,834.6666666666666,369.5623684134252,23.190269831829944,640.1688093991623
Major,82.16903145857903,83.1111111111111,164.88888888888889,247.1111111111111,330.66666666666663,412.88888888888886,493.77777777777777,579.1111111111111,625.3333333333333,740.8888888888888,249.0819734162569,18.83174790302566,358.2947406572165
Major,81.695772662055,82.60951010066154,165.21902020132308,246.95895651145133,329.56846661211284,413.04755050330766,494.7874868134359,580.0057182856973,659.1369332242257,741.7464433248873,359.07593461000414,22.791380089076117,572.3611956265704
Major,82.16903145857903,83.04429699592818,165.21902020132308,246.95895651145133,329.13367971684625,413.04755050330766,494.7874868134359,579.136144495164,661.3108677005589,743.0508040106872,334.9249476938893,17.163010218679517,582.8572795618719
Major,138.1912879967776,165.45454545454544,262.27272727272725,415.45454545454544,524.5454545454545,702.7272727272727,830.0,992.2727272727273,1158.1818181818182,1247.2727272727273,352.56644196831667,23.992712211622045,537.4234169407895
