Label,F0,Harmonic_1,Harmonic_2,Harmonic_3,Harmonic_4,Harmonic_5,Harmonic_6,Harmonic_7,Harmonic_8,Harmonic_9
Major,65.59540522187244,130.66666666666666,130.66666666666666,196.0,262.22222222222223,329.3333333333333,392.88888888888886,495.55555555555554,524.8888888888889,589.3333333333333
Major,65.59540522187244,165.33333333333331,165.33333333333331,196.44444444444443,261.77777777777777,329.77777777777777,392.4444444444444,496.0,524.0,589.7777777777777
Major,120.30250360821167,130.9090909090909,234.0909090909091,370.45454545454544,468.1818181818182,555.4545454545454,702.7272727272727,927.2727272727273,937.7272727272727,1113.1818181818182
Major,284.4812036394563,278.1818181818182,556.3636363636364,835.0,1091.3636363636363,1391.8181818181818,1670.4545454545455,1949.090909090909,1949.090909090909,1949.090909090909
Major,50.28964705339267,155.9090909090909,155.9090909090909,155.9090909090909,197.72727272727272,278.1818181818182,311.3636363636364,350.45454545454544,392.7272727272727,466.8181818181818
Major,281.2136583244699,278.22222222222223,556.4444444444445,834.6666666666666,1112.888888888889,1391.5555555555554,1670.2222222222222,1949.3333333333333,1949.3333333333333,1949.3333333333333
Major,50.0,156.0,156.0,156.0,196.44444444444443,272.44444444444446,311.1111111111111,350.22222222222223,392.4444444444444,466.66666666666663
Major,98.2820598545251,155.45454545454544,195.9090909090909,294.54545454545456,392.27272727272725,466.8181818181818,589.0909090909091,699.0909090909091,784.5454545454545,884.5454545454545
Major,50.28964705339267,155.9090909090909,155.9090909090909,155.9090909090909,197.72727272727272,294.09090909090907,294.09090909090907,350.45454545454544,392.7272727272727,466.8181818181818
Major,276.38257599355524,278.1818181818182,556.3636363636364,835.0,1112.7272727272727,1391.8181818181818,1670.4545454545455,1949.090909090909,1949.090909090909,1949.090909090909
Major,78.45840978967507,155.9090909090909,155.9090909090909,273.6363636363636,311.3636363636364,392.7272727272727,468.1818181818182,556.3636363636364,624.0909090909091,780.9090909090909
Major,65.59540522187244,155.21892161019036,155.21892161019036,196.0888897652545,262.17649784578373,311.307417010914,392.177779530509,466.52633862110434,524.787782586834,589.1362430862968
Major,51.76324619206888,155.653708505457,155.653708505457,155.653708505457,198.26282424158768,262.17649784578373,311.307417010914,350.4382375849116,392.61256642577564,465.6567648305711
Major,233.75544971224912,233.1818181818182,467.27272727272725,661.3636363636364,929.090909090909,993.6363636363636,993.6363636363636,993.6363636363636,993.6363636363636,993.6363636363636
Major,61.91381801887202,155.45454545454544,155.45454545454544,195.9090909090909,247.27272727272725,311.3636363636364,391.8181818181818,466.8181818181818,494.5454545454545,588.1818181818181
Major,98.85140203528961,155.9090909090909,197.72727272727272,311.3636363636364,392.7272727272727,494.5454545454545,590.0,743.1818181818181,787.2727272727273,787.2727272727273
Major,82.64503181542116,82.60951010066154,165.6538070965897,247.8285303019846,330.43804040264615,413.04755050330766,495.2222737087026,580.0057182856973,659.1369332242257,741.7464433248873
Major,82.64503181542116,83.04429699592818,165.21902020132308,246.95895651145133,331.3076141931794,412.61276360804106,496.0918474992358,579.136144495164,661.3108677005589,743.0508040106872
Major,81.695772662055,82.60951010066154,164.3494464107898,247.8285303019846,329.56846661211284,413.04755050330766,495.2222737087026,580.0057182856973,659.1369332242257,745.2247384870204
